Column1,Column2,Column3,Column4
477.0,115.82,3.5,0.68
478.0,115.82,3.5,0.68
479.0,115.82,3.5,0.68
480.0,115.82,3.5,0.68
481.0,115.82,3.5,0.68
482.0,115.8,3.52,0.68
483.0,115.78,3.54,0.68
484.0,115.76,3.56,0.68
485.0,115.76,3.56,0.68
486.0,115.74,3.58,0.68
487.0,115.72,3.6,0.68
488.0,115.72,3.6,0.68
489.0,115.7,3.62,0.68
490.0,115.66,3.66,0.68
491.0,115.66,3.66,0.68
492.0,115.66,3.66,0.68
493.0,115.64,3.68,0.68
494.0,115.62,3.7,0.68
495.0,115.6,3.7,0.7
496.0,115.6,3.68,0.72
497.0,115.6,3.68,0.72
498.0,115.6,3.66,0.74
499.0,115.58,3.68,0.74
500.0,115.58,3.68,0.74
501.0,115.58,3.68,0.74
502.0,115.54,3.72,0.74
503.0,115.54,3.72,0.74
504.0,115.54,3.72,0.74
505.0,115.54,3.72,0.74
506.0,115.48,3.78,0.74
507.0,115.48,3.76,0.76
508.0,115.46,3.78,0.76
509.0,115.46,3.78,0.76
510.0,115.46,3.78,0.76
511.0,115.46,3.78,0.76
512.0,115.46,3.78,0.76
513.0,115.44,3.78,0.78
514.0,115.44,3.78,0.78
515.0,115.42,3.8,0.78
516.0,115.42,3.8,0.78
517.0,115.42,3.8,0.78
518.0,115.42,3.8,0.78
519.0,115.42,3.8,0.78
520.0,115.42,3.8,0.78
521.0,115.38,3.84,0.78
522.0,115.32,3.9,0.78
523.0,115.3,3.92,0.78
524.0,115.28,3.94,0.78
525.0,115.24,3.98,0.78
526.0,115.24,3.96,0.8
527.0,115.24,3.96,0.8
528.0,115.22,3.98,0.8
529.0,115.22,3.96,0.82
530.0,115.22,3.96,0.82
531.0,115.2,3.98,0.82
532.0,115.2,3.96,0.84
533.0,115.2,3.96,0.84
534.0,115.2,3.96,0.84
535.0,115.18,3.96,0.86
536.0,115.18,3.96,0.86
537.0,115.16,3.98,0.86
538.0,115.16,3.98,0.86
539.0,115.14,4.0,0.86
540.0,115.14,4.0,0.86
541.0,115.14,4.0,0.86
542.0,115.1,4.04,0.86
543.0,115.1,4.04,0.86
544.0,115.08,4.06,0.86
545.0,115.06,4.08,0.86
546.0,115.06,4.08,0.86
547.0,115.04,4.1,0.86
548.0,115.04,4.1,0.86
549.0,115.02,4.12,0.86
550.0,115.02,4.12,0.86
551.0,115.02,4.12,0.86
552.0,114.98,4.16,0.86
553.0,114.98,4.16,0.86
554.0,114.94,4.16,0.9
555.0,114.9,4.18,0.92
556.0,114.9,4.18,0.92
557.0,114.9,4.18,0.92
558.0,114.88,4.2,0.92
559.0,114.88,4.2,0.92
560.0,114.88,4.2,0.92
561.0,114.88,4.2,0.92
562.0,114.88,4.2,0.92
563.0,114.88,4.2,0.92
564.0,114.86,4.22,0.92
565.0,114.86,4.22,0.92
566.0,114.86,4.22,0.92
567.0,114.86,4.22,0.92
568.0,114.86,4.22,0.92
569.0,114.86,4.22,0.92
570.0,114.84,4.24,0.92
571.0,114.84,4.24,0.92
572.0,114.82,4.24,0.94
573.0,114.82,4.24,0.94
574.0,114.8,4.26,0.94
575.0,114.8,4.26,0.94
576.0,114.8,4.26,0.94
577.0,114.8,4.26,0.94
578.0,114.8,4.24,0.96
579.0,114.8,4.24,0.96
580.0,114.78,4.26,0.96
581.0,114.78,4.26,0.96
582.0,114.78,4.24,0.98
583.0,114.78,4.24,0.98
584.0,114.78,4.24,0.98
585.0,114.78,4.24,0.98
586.0,114.78,4.24,0.98
587.0,114.78,4.24,0.98
588.0,114.78,4.24,0.98
589.0,114.78,4.24,0.98
590.0,114.78,4.24,0.98
591.0,114.74,4.28,0.98
592.0,114.72,4.28,1.0
593.0,114.7,4.3,1.0
594.0,114.7,4.3,1.0
595.0,114.66,4.32,1.02
596.0,114.66,4.32,1.02
597.0,114.64,4.34,1.02
598.0,114.62,4.36,1.02
599.0,114.62,4.36,1.02
600.0,114.62,4.36,1.02
601.0,114.62,4.36,1.02
602.0,114.62,4.34,1.04
603.0,114.62,4.32,1.06
604.0,114.58,4.36,1.06
605.0,114.58,4.36,1.06
606.0,114.58,4.36,1.06
607.0,114.56,4.38,1.06
608.0,114.56,4.38,1.06
609.0,114.54,4.4,1.06
610.0,114.54,4.4,1.06
611.0,114.5,4.42,1.08
612.0,114.5,4.4,1.1
613.0,114.5,4.4,1.1
614.0,114.5,4.4,1.1
615.0,114.5,4.4,1.1
616.0,114.46,4.44,1.1
617.0,114.46,4.44,1.1
618.0,114.46,4.44,1.1
619.0,114.46,4.44,1.1
620.0,114.46,4.44,1.1
621.0,114.46,4.44,1.1
622.0,114.44,4.46,1.1
623.0,114.42,4.48,1.1
624.0,114.42,4.48,1.1
625.0,114.42,4.44,1.14
626.0,114.4,4.42,1.18
627.0,114.4,4.42,1.18
628.0,114.38,4.44,1.18
629.0,114.38,4.44,1.18
630.0,114.38,4.42,1.2
631.0,114.38,4.42,1.2
632.0,114.36,4.44,1.2
633.0,114.36,4.44,1.2
634.0,114.36,4.44,1.2
635.0,114.36,4.44,1.2
636.0,114.32,4.48,1.2
637.0,114.3,4.5,1.2
638.0,114.28,4.52,1.2
639.0,114.28,4.5,1.22
640.0,114.28,4.5,1.22
641.0,114.28,4.48,1.24
642.0,114.26,4.5,1.24
643.0,114.26,4.5,1.24
644.0,114.22,4.54,1.24
645.0,114.22,4.54,1.24
646.0,114.22,4.54,1.24
647.0,114.2,4.56,1.24
648.0,114.14,4.6,1.26
649.0,114.14,4.6,1.26
650.0,114.14,4.6,1.26
651.0,114.12,4.62,1.26
652.0,114.12,4.62,1.26
653.0,114.12,4.62,1.26
654.0,114.1,4.64,1.26
655.0,114.1,4.64,1.26
656.0,114.08,4.66,1.26
657.0,114.04,4.7,1.26
658.0,114.02,4.72,1.26
659.0,114.0,4.74,1.26
660.0,113.96,4.78,1.26
661.0,113.96,4.78,1.26
662.0,113.96,4.78,1.26
663.0,113.96,4.78,1.26
664.0,113.94,4.8,1.26
665.0,113.9,4.84,1.26
666.0,113.9,4.84,1.26
667.0,113.86,4.88,1.26
668.0,113.84,4.9,1.26
669.0,113.8,4.9,1.3
670.0,113.78,4.92,1.3
671.0,113.78,4.92,1.3
672.0,113.78,4.92,1.3
673.0,113.76,4.94,1.3
674.0,113.74,4.96,1.3
675.0,113.72,4.98,1.3
676.0,113.72,4.98,1.3
677.0,113.7,4.96,1.34
678.0,113.7,4.96,1.34
679.0,113.7,4.96,1.34
680.0,113.7,4.96,1.34
681.0,113.7,4.94,1.36
682.0,113.68,4.96,1.36
683.0,113.66,4.98,1.36
684.0,113.66,4.98,1.36
685.0,113.66,4.98,1.36
686.0,113.66,4.98,1.36
687.0,113.62,5.02,1.36
688.0,113.58,5.06,1.36
689.0,113.56,5.08,1.36
690.0,113.52,5.1,1.38
691.0,113.5,5.1,1.4
692.0,113.48,5.12,1.4
693.0,113.46,5.14,1.4
694.0,113.46,5.14,1.4
695.0,113.42,5.16,1.42
696.0,113.4,5.18,1.42
697.0,113.4,5.18,1.42
698.0,113.4,5.18,1.42
699.0,113.4,5.18,1.42
700.0,113.4,5.18,1.42
701.0,113.38,5.2,1.42
702.0,113.32,5.26,1.42
703.0,113.32,5.26,1.42
704.0,113.28,5.3,1.42
705.0,113.26,5.32,1.42
706.0,113.26,5.32,1.42
707.0,113.22,5.34,1.44
708.0,113.2,5.36,1.44
709.0,113.18,5.38,1.44
710.0,113.18,5.38,1.44
711.0,113.16,5.4,1.44
712.0,113.14,5.42,1.44
713.0,113.12,5.44,1.44
714.0,113.12,5.44,1.44
715.0,113.12,5.44,1.44
716.0,113.1,5.46,1.44
717.0,113.06,5.5,1.44
718.0,113.06,5.5,1.44
719.0,113.04,5.52,1.44
720.0,113.02,5.54,1.44
721.0,113.0,5.56,1.44
722.0,113.0,5.56,1.44
723.0,112.98,5.58,1.44
724.0,112.98,5.56,1.46
725.0,112.96,5.58,1.46
726.0,112.9,5.64,1.46
727.0,112.88,5.66,1.46
728.0,112.86,5.68,1.46
729.0,112.82,5.7,1.48
730.0,112.8,5.72,1.48
731.0,112.76,5.76,1.48
732.0,112.74,5.76,1.5
733.0,112.72,5.78,1.5
734.0,112.72,5.78,1.5
735.0,112.7,5.8,1.5
736.0,112.64,5.86,1.5
737.0,112.64,5.86,1.5
738.0,112.6,5.9,1.5
739.0,112.58,5.92,1.5
740.0,112.58,5.92,1.5
741.0,112.58,5.92,1.5
742.0,112.56,5.94,1.5
743.0,112.56,5.94,1.5
744.0,112.56,5.92,1.52
745.0,112.56,5.92,1.52
746.0,112.56,5.92,1.52
747.0,112.54,5.92,1.54
748.0,112.54,5.9,1.56
749.0,112.5,5.94,1.56
750.0,112.48,5.96,1.56
751.0,112.48,5.96,1.56
752.0,112.48,5.96,1.56
753.0,112.48,5.96,1.56
754.0,112.46,5.98,1.56
755.0,112.46,5.98,1.56
756.0,112.44,6.0,1.56
757.0,112.4,6.04,1.56
758.0,112.4,6.04,1.56
759.0,112.4,6.04,1.56
760.0,112.4,6.04,1.56
761.0,112.36,6.08,1.56
762.0,112.36,6.08,1.56
763.0,112.34,6.1,1.56
764.0,112.34,6.1,1.56
765.0,112.32,6.12,1.56
766.0,112.28,6.16,1.56
767.0,112.28,6.16,1.56
768.0,112.26,6.18,1.56
769.0,112.22,6.2,1.58
770.0,112.22,6.2,1.58
771.0,112.2,6.2,1.6
772.0,112.2,6.2,1.6
773.0,112.16,6.24,1.6
774.0,112.14,6.26,1.6
775.0,112.12,6.26,1.62
776.0,112.12,6.26,1.62
777.0,112.1,6.28,1.62
778.0,112.08,6.28,1.64
779.0,112.06,6.3,1.64
780.0,112.04,6.32,1.64
781.0,112.02,6.34,1.64
782.0,112.0,6.36,1.64
783.0,112.0,6.36,1.64
784.0,112.0,6.36,1.64
785.0,112.0,6.36,1.64
786.0,112.0,6.36,1.64
787.0,112.0,6.36,1.64
788.0,111.98,6.36,1.66
789.0,111.98,6.36,1.66
790.0,111.96,6.38,1.66
791.0,111.92,6.42,1.66
792.0,111.9,6.44,1.66
793.0,111.86,6.48,1.66
794.0,111.86,6.46,1.68
795.0,111.84,6.48,1.68
796.0,111.84,6.46,1.7
797.0,111.84,6.44,1.72
798.0,111.8,6.48,1.72
799.0,111.78,6.5,1.72
800.0,111.74,6.52,1.74
801.0,111.72,6.54,1.74
802.0,111.72,6.54,1.74
803.0,111.7,6.56,1.74
804.0,111.68,6.58,1.74
805.0,111.6,6.66,1.74
806.0,111.58,6.68,1.74
807.0,111.56,6.68,1.76
808.0,111.56,6.68,1.76
809.0,111.56,6.68,1.76
810.0,111.52,6.72,1.76
811.0,111.52,6.72,1.76
812.0,111.52,6.72,1.76
813.0,111.52,6.72,1.76
814.0,111.5,6.72,1.78
815.0,111.48,6.74,1.78
816.0,111.48,6.74,1.78
817.0,111.46,6.76,1.78
818.0,111.44,6.78,1.78
819.0,111.44,6.78,1.78
820.0,111.42,6.8,1.78
821.0,111.4,6.82,1.78
822.0,111.36,6.86,1.78
823.0,111.34,6.88,1.78
824.0,111.32,6.9,1.78
825.0,111.32,6.9,1.78
826.0,111.3,6.92,1.78
827.0,111.28,6.94,1.78
828.0,111.24,6.98,1.78
829.0,111.2,7.02,1.78
830.0,111.2,7.02,1.78
831.0,111.12,7.08,1.8
832.0,111.06,7.14,1.8
833.0,111.06,7.12,1.82
834.0,111.04,7.14,1.82
835.0,111.04,7.14,1.82
836.0,111.02,7.16,1.82
837.0,111.0,7.18,1.82
838.0,111.0,7.18,1.82
839.0,110.98,7.2,1.82
840.0,110.94,7.22,1.84
841.0,110.92,7.24,1.84
842.0,110.92,7.24,1.84
843.0,110.92,7.22,1.86
844.0,110.84,7.3,1.86
845.0,110.82,7.3,1.88
846.0,110.82,7.28,1.9
847.0,110.8,7.3,1.9
848.0,110.78,7.28,1.94
849.0,110.78,7.28,1.94
850.0,110.78,7.28,1.94
851.0,110.74,7.32,1.94
852.0,110.74,7.32,1.94
853.0,110.72,7.34,1.94
854.0,110.68,7.38,1.94
855.0,110.64,7.42,1.94
856.0,110.64,7.42,1.94
857.0,110.62,7.44,1.94
858.0,110.58,7.48,1.94
859.0,110.54,7.52,1.94
860.0,110.52,7.52,1.96
861.0,110.48,7.52,2.0
862.0,110.46,7.54,2.0
863.0,110.44,7.56,2.0
864.0,110.42,7.56,2.02
865.0,110.4,7.58,2.02
866.0,110.4,7.56,2.04
867.0,110.36,7.56,2.08
868.0,110.34,7.58,2.08
869.0,110.28,7.64,2.08
870.0,110.26,7.66,2.08
